Product Name,Generic Name,Company,Category,Strength,Pack Size,MRP,Selling Price,Stock,Batch Number,Expiry Date,Image URL
Dexonex,Dexamethasone Sodium Phosphate,"Square Pharmaceuticals PLC, Pabna",Injection,5 mg/ml,,,,,,,
Beclomin,Beclomethasone Dipropionate,"Square Pharmaceuticals PLC, Pabna",Inhalation Solution,100 mcg,,,,,,,
Clofenac,Diclofenac Sodium,"Square Pharmaceuticals PLC, Pabna",Sr Tablet,100 mg,,,,,,,
Clofenac,Diclofenac Sodium,"Square Pharmaceuticals PLC, Pabna",Suppository,25 mg,,,,,,,
Fungidal,Hydrocortisone + Miconazole Nitrate,"Square Pharmaceuticals PLC, Pabna",Cream,1 gm + 2 gm/100 gm,,,,,,,
Clofenac,Diclofenac Sodium,"Square Pharmaceuticals PLC, Pabna",Suppository,100 mg,,,,,,,
Fungidal,Hydrocortisone + Miconazole Nitrate,"Square Pharmaceuticals PLC, Pabna",Cream,1 gm + 2 gm/100 gm,,,,,,,
Norvent,Tiotropium,"Square Pharmaceuticals PLC, Pabna",Aerosol Inhalation,9 mcg/Metered Inhalation,,,,,,,
Clofenac 100 TR,Diclofenac Sodium,"Square Pharmaceuticals PLC, Pabna",Capsule,100 mg,,,,,,,
Durol,Carvedilol,"Square Pharmaceuticals PLC, Pabna",Tablet,25 mg,,,,,,,
Tridil,Trifluoperazine,"Square Pharmaceuticals PLC, Pabna",Tablet,1 mg,,,,,,,
Asmanyl,Theophylline,"Square Pharmaceuticals PLC, Pabna",Syrup,120 mg/5 ml,,,,,,,
Piramed,Topiramate,"Square Pharmaceuticals PLC, Pabna",Tablet,25 mg,,,,,,,
Clofenac,Diclofenac Sodium,"Square Pharmaceuticals PLC, Pabna",Tablet,25 mg,,,,,,,
Kalinac,Diclofenac Sodium,"Square Pharmaceuticals PLC, Pabna",Tablet,25 mg,,,,,,,
Volinac Max,Diclofenac Sodium,"Square Pharmaceuticals PLC, Pabna",Gel,2 gm/100 gm,,,,,,,
Tam,Tylosin,"Square Pharmaceuticals PLC, Pabna",Powder,20 gm/100 gm,,,,,,,
Beclomin,Beclomethasone Dipropionate,"Square Pharmaceuticals PLC, Pabna",Aerosol Inhalation,200 mcg/Metered Inhalation,,,,,,,
Beclomin,Beclomethasone Dipropionate,"Square Pharmaceuticals PLC, Pabna",Aerosol Inhalation,200 mcg/Metered Inhalation,,,,,,,
Beclomin,Beclomethasone Dipropionate,"Square Pharmaceuticals PLC, Pabna",Aerosol Inhalation,200 mcg/Metered Inhalation,,,,,,,
Zif,Ferrous Sulphate + Folic Acid + Zinc,"Square Pharmaceuticals PLC, Pabna",Capsule,150 mg + 500 mcg + 22.5 mg,,,,,,,
Zif-CI,Ferrous Sulphate + Folic Acid + Zinc,"Square Pharmaceuticals PLC, Pabna",Capsule,150 mg + 500 mcg + 22.5 mg,,,,,,,
Cif,Ferrous Sulphate + Folic Acid + Zinc,"Square Pharmaceuticals PLC, Pabna",Capsule,150 mg + 500 mcg + 22.5 mg,,,,,,,
Merison,Betahistine Mesilate,"Square Pharmaceuticals PLC, Pabna",Tablet,6 mg,,,,,,,
Ziliron,Ferrous Sulphate + Folic Acid + Zinc,"Square Pharmaceuticals PLC, Pabna",Tablet,150 mg + 500 mcg + 22.5 mg,,,,,,,
Calbo,Calcium Carbonate + Calcium Lactate Gluconate + Vitamin C + Vitamin D,,Tablet,327 mg + 1 gm + 500 mg + 400 IU,,,,,,,
Neurolep,Piracetam,"Square Pharmaceuticals PLC, Pabna",Syrup,500 mg/5 ml,,,,,,,
Alatrol,Cetirizine Dihydrochloride,"Square Pharmaceuticals PLC, Pabna",Syrup,5 mg/5 ml,,,,,,,
Clofenac,Diclofenac Sodium,"Square Pharmaceuticals PLC, Pabna",Eye Drops,1 mg/ml,,,,,,,
Moxacil,Amoxicillin,"Square Pharmaceuticals PLC, Pabna",Paediatric Drops,125 mg/1.25 ml,,,,,,,
Flacol,Simethicone,"Square Pharmaceuticals PLC, Pabna",Paediatric Drops,67 mg/ml,,,,,,,
Moxacil,Amoxicillin,"Square Pharmaceuticals PLC, Pabna",Powder,10%,,,,,,,
